Country,C1,C2,C4,C5,C6,C7,C8,C9
Belgium,0.9,18.1,6.6,772,53.8,80.51,19.6,16.2
Bulgaria,12.9,11.7,9.2,2073,23.1,54.77,17.7,26.8
Czechia,3.5,13.7,6.5,1159,25.4,79.8,27.2,13.5
Denmark,2.3,16.4,3.2,668,45.4,96.3,19.4,9.1
Germany (until 1990 former territory of the FRG),1.9,25.9,4.2,895,65.6,95.56,15.5,13.1
Estonia,3.9,10.5,5.9,670,31.3,83,16.0,12.3
Ireland,1.3,9,4.1,359,39.8,59.98,17.7,10.9
Greece,6,19.7,7.3,1062,15.4,92.8,18.6,16.1
Spain,1.7,15.9,3.6,588,30.8,84.68,17.3,11.9
France,2.3,16.9,5.1,631,39.7,80.38,16.1,15.3
Croatia,7.8,8.9,7.3,1109,16.5,36.9,14.9,2.5
Italy,9.5,17.6,5.6,921,41.6,57.6,19.2,18
Cyprus,1.5,19.2,5.3,648,14.8,,18.2,11.9
Latvia,16.6,15.3,10.6,1262,27,71.21,21.0,13
Lithuania,10.1,14.4,9.1,1283,30.5,69.39,11.7,4.8
Luxembourg,1.6,19.1,6.3,551,47.7,96.6,16.4,16.8
Hungary,17.3,13.8,6.3,1413,30.5,73.5,31.4,13.9
Malta,1.3,30.6,2.3,620,11.7,0,16.9,12.2
Netherlands,0.6,25,2.8,703,50.9,99.4,14.5,18.5
Austria,3.7,17.5,5,719,56.3,95,22.1,13.4
Poland,9.1,13.4,8.4,1573,26.5,71.4,21.8,6.4
Portugal,5.5,23.6,6.1,534,30.4,,9.0,11.6
Romania,20.6,23.6,9.1,1371,13.1,38.2,21.5,14.5
Slovenia,6.5,13.2,5.2,867,36,55.6,13.7,10.1
Slovakia,4.3,14,5.4,1170,10.3,,22.4,8.7
Finland,0.7,13,4.2,431,32.5,85,14.8,7
Sweden,2.1,13.2,2.8,377,49.3,95,16.5,10.7
