Lp,Criteria,Correlation,Methods
93,32,0.047161172161172216,DARIA-TOPSIS/AVG TOPSIS
94,32,-0.13594540380254672,DARIA-VIKOR/AVG VIKOR
95,32,0.946101517530089,AVG TOPSIS/AVG VIKOR
96,6,0.8551805337519623,DARIA-TOPSIS/DARIA-VIKOR
97,6,0.0004142682714111112,DARIA-TOPSIS/AVG TOPSIS
98,6,-0.03229112157683578,DARIA-VIKOR/AVG VIKOR
99,6,0.9600558171986744,AVG TOPSIS/AVG VIKOR
100,8,0.8267704517704517,DARIA-TOPSIS/DARIA-VIKOR
101,8,0.01567678353392643,DARIA-TOPSIS/AVG TOPSIS
102,8,0.003990057561486182,DARIA-VIKOR/AVG VIKOR
103,8,0.921201814058957,AVG TOPSIS/AVG VIKOR
104,10,0.9292037327751613,DARIA-TOPSIS/DARIA-VIKOR
105,10,0.18836124193267045,DARIA-TOPSIS/AVG TOPSIS
106,10,0.16860718646432937,DARIA-VIKOR/AVG VIKOR
107,10,0.9159689516832374,AVG TOPSIS/AVG VIKOR
108,16,0.7047793476364905,DARIA-TOPSIS/DARIA-VIKOR
109,16,0.28226931798360366,DARIA-TOPSIS/AVG TOPSIS
110,16,0.25518925518925517,DARIA-VIKOR/AVG VIKOR
111,16,0.8724707831850689,AVG TOPSIS/AVG VIKOR
112,24,0.6300802372230944,DARIA-TOPSIS/DARIA-VIKOR
113,24,0.02622972265829404,DARIA-TOPSIS/AVG TOPSIS
114,24,0.23155416012558871,DARIA-VIKOR/AVG VIKOR
115,24,0.7295482295482296,AVG TOPSIS/AVG VIKOR
116,32,0.8155197976626548,DARIA-TOPSIS/DARIA-VIKOR
117,32,0.04772806558520848,DARIA-TOPSIS/AVG TOPSIS
118,32,0.06948805163090876,DARIA-VIKOR/AVG VIKOR
119,32,0.7656549799406942,AVG TOPSIS/AVG VIKOR
120,6,0.8660169195883481,DARIA-TOPSIS/DARIA-VIKOR
121,6,0.34593581022152453,DARIA-TOPSIS/AVG TOPSIS
122,6,0.3137973137973138,DARIA-VIKOR/AVG VIKOR
123,6,0.9422204779347636,AVG TOPSIS/AVG VIKOR
124,8,0.8250261643118786,DARIA-TOPSIS/DARIA-VIKOR
125,8,0.19616692830978544,DARIA-TOPSIS/AVG TOPSIS
126,8,0.06870312227455089,DARIA-VIKOR/AVG VIKOR
127,8,0.8546136403279261,AVG TOPSIS/AVG VIKOR
128,10,0.8720129077271934,DARIA-TOPSIS/DARIA-VIKOR
129,10,0.2477978370835514,DARIA-TOPSIS/AVG TOPSIS
